City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Kerema,PG,82.2,broken clouds,-7.9631,145.7785,Frena Lodge
129,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
130,Tura,IN,74.75,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
133,Arlit,NE,88.23,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
135,Fortuna,US,69.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
136,Atar,MR,87.57,scattered clouds,20.5169,-13.0499,Oumou Elghoura
138,Uba,BR,69.85,broken clouds,-21.12,-42.9428,Bristol Easy Hotel - Ubá
141,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
144,Serpa,PT,68.25,clear sky,37.9458,-7.5975,Casa do Caniço
145,Boguchany,RU,63.46,light rain,58.3814,97.4531,Uyut
146,Dawlatabad,AF,80.71,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
147,Steinbach,DE,62.08,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
148,Ormara,PK,81.86,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
149,Gimli,CA,75.43,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
150,Ucluelet,CA,86.95,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
151,Paracuru,BR,80.62,few clouds,-3.41,-39.0306,Hotel Vento Brasil
154,Wajir,KE,71.78,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
155,Makarov,RU,80.53,few clouds,48.6333,142.8,Gostinitsa ''yana''
157,Sultanpur,IN,81.64,overcast clouds,26.2667,82.0667,OYO 49568 Vrindavan Guest House
158,Honiara,SB,84.18,scattered clouds,-9.4333,159.95,Heritage Park Hotel
159,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
161,Whakatane,NZ,61.52,scattered clouds,-37.9585,176.9854,Pacific Coast Motel
162,Daru,PG,79.36,broken clouds,-9.0763,143.2092,Daru Lodge
163,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
165,Carnarvon,AU,69.84,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
166,Bambous Virieux,MU,71.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
167,Kisangani,CD,72.68,overcast clouds,0.5167,25.2,Grand Ramela Hotel
168,Acapulco,MX,81.77,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
169,Hualmay,PE,64.22,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
174,Hamilton,US,81.41,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
175,Maumere,ID,84.02,few clouds,-8.6199,122.2111,Sylvia Hotel
